model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
whisper,Conditioning,decoder,cs_dialogue,16,0.5161290322580645,global,0.5,0.2683419473652944,0.5079365079365079,-0.005881304580288738,-0.037918871252204556,0.9728678821394625,0.8910149750415973,45,131,-86,46877.92778801918,13422,3.4926186699462956,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L16/conditioning_decoder_L16_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,16,0.5161290322580645,oracle_local,0.5,0.2694112754708014,0.4929453262786596,-0.006950632685795766,-0.02292768959435626,0.9872116132377085,0.9417637271214643,18,70,-52,6325.634336709976,1811,3.4928958236940786,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L16/conditioning_decoder_L16_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,17,0.5483870967741935,global,0.5,0.27006475375750016,0.48059964726631393,-0.007604110972494527,-0.010582010582010581,0.9696707854488896,0.937603993344426,51,75,-24,47366.63479423523,13359,3.545672190600736,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L17/conditioning_decoder_L17_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,17,0.5483870967741935,oracle_local,0.5,0.2555694172161825,0.4673721340388007,0.006891225568823156,0.002645502645502673,0.9901494858722889,0.9742096505823628,37,31,6,6476.10902428627,1821,3.5563476245394123,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L17/conditioning_decoder_L17_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,18,0.5806451612903226,global,0.5,0.2801639636428444,0.48853615520282184,-0.017703320857838767,-0.01851851851851849,0.96068435150782,0.9292845257903494,43,85,-42,46999.799510240555,13517,3.477088075034442,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L18/conditioning_decoder_L18_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,18,0.5806451612903226,oracle_local,0.5,0.26691617655795163,0.4783950617283951,-0.0044555337729459965,-0.008377425044091724,0.9931737665255336,0.9625623960066556,26,45,-19,6381.900635957718,1818,3.5103963894156864,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L18/conditioning_decoder_L18_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,19,0.6129032258064516,global,0.5,0.28871858848690074,0.5233686067019401,-0.026257945701895102,-0.05335097001763672,0.9538581180333535,0.8685524126455907,37,158,-121,48720.52474617958,13489,3.6118707647846082,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L19/conditioning_decoder_L19_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,19,0.6129032258064516,oracle_local,0.5,0.26370819224143055,0.48544973544973546,-0.0012475494564249123,-0.015432098765432112,0.9891125896483194,0.9517470881863561,23,58,-35,6585.061252593994,1814,3.6301329948147707,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L19/conditioning_decoder_L19_oracle_local_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,20,0.6451612903225806,global,0.5,0.272084595734569,0.5035273368606702,-0.009623952949563364,-0.03350970017636684,0.9526484057720557,0.9093178036605657,33,109,-76,49929.56438922882,13650,3.6578435449984483,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L20/conditioning_decoder_L20_global_rho0.5.json
whisper,Conditioning,decoder,cs_dialogue,20,0.6451612903225806,oracle_local,0.5,0.26780728331254083,0.4775132275132275,-0.005346640527535196,-0.007495590828924148,0.9904951179469454,0.9692179700499168,20,37,-17,6670.001620292664,1818,3.668867777938759,,,,,results/basis_a4/whisper/conditioning/cs_dialogue/L20/conditioning_decoder_L20_oracle_local_rho0.5.json
