model,direction,side,dataset,layer,normalized_depth,scope,rho,mer,pier,mer_gain,pier_gain,matrix_retention,embedded_retention,poi_corrections,poi_corruptions,poi_net_utility,total_intervention_energy,edited_positions_or_frames,mean_intervention_norm,mean_perturbation_norm,original_hidden_norm,relative_perturbation,edited_fraction,path
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,15,0.5555555555555556,global,0.5,0.2607329842931937,0.6565656565656566,0.0010471204188481908,0.0,0.9932705248990579,0.9705882352941176,1,1,0,45825.858489990234,884,,51.83920643664054,123.42165934014643,0.4200170919252772,0.186144451463466,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L15/Raw_decoder_L15_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,15,0.5555555555555556,oracle_local,0.5,0.2617801047120419,0.6565656565656566,0.0,0.0,1.0,1.0,0,0,0,2032.3285026550293,39,,52.11098724756486,128.56605236346905,0.40532462722151485,0.008201892744479496,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L15/Raw_decoder_L15_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,15,0.5555555555555556,global,0.5,0.34973821989528797,0.9191919191919192,-0.08795811518324609,-0.26262626262626265,0.8882907133243607,0.23529411764705882,0,26,-26,36831.200759887695,2965,,12.421990138242055,26.486209142469434,0.46899841617288895,1.0,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L15/Raw_encoder_L15_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,15,0.5555555555555556,oracle_local,0.5,0.2680628272251309,0.6868686868686869,-0.006282722513089034,-0.030303030303030276,0.9838492597577388,0.8823529411764706,1,4,-3,7913.3868408203125,636,,12.44243213965458,26.39504255138853,0.47139276685879167,0.21450252951096122,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L15/Raw_encoder_L15_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,16,0.5925925925925926,global,0.5,0.27225130890052357,0.7070707070707071,-0.010471204188481686,-0.0505050505050505,0.9730820995962315,0.8529411764705882,0,5,-5,57564.65486907959,849,,67.80289148301483,152.02810286127635,0.4459891967795196,0.1801018243529911,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L16/Raw_decoder_L16_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,16,0.5925925925925926,oracle_local,0.5,0.2607329842931937,0.6565656565656566,0.0010471204188481908,0.0,1.0,1.0,0,0,0,2642.8518867492676,39,,67.76543299357097,157.1633817232572,0.43117825698670975,0.008203618005889778,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L16/Raw_decoder_L16_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,16,0.5925925925925926,global,0.5,0.48900523560209425,0.9797979797979798,-0.22722513089005236,-0.3232323232323232,0.8977119784656796,0.058823529411764705,0,32,-32,35797.721130371094,2965,,12.07343039810155,25.39082161966102,0.47550373040125105,1.0,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L16/Raw_encoder_L16_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,16,0.5925925925925926,oracle_local,0.5,0.2743455497382199,0.7070707070707071,-0.012565445026178013,-0.0505050505050505,0.9838492597577388,0.8529411764705882,0,5,-5,7680.477500915527,636,,12.076222485716238,25.334989349797087,0.4766618339159854,0.21450252951096122,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L16/Raw_encoder_L16_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,17,0.6296296296296297,global,0.5,0.2649214659685864,0.6565656565656566,-0.003141361256544517,0.0,0.9878869448183042,0.9705882352941176,1,1,0,79427.0911026001,895,,88.74535318726268,203.84700469118258,0.4353527456619105,0.1880252100840336,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L17/Raw_decoder_L17_global_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,17,0.6296296296296297,oracle_local,0.5,0.25968586387434556,0.6464646464646465,0.002094240837696326,0.010101010101010055,1.0,1.0,1,0,1,3461.377151489258,39,,88.75326029459636,208.62472690680087,0.4254206182100609,0.008207070707070708,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L17/Raw_decoder_L17_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,17,0.6296296296296297,global,0.5,0.47853403141361256,0.9393939393939394,-0.21675392670157068,-0.2828282828282829,0.8990578734858681,0.17647058823529413,0,28,-28,35748.243423461914,2965,,12.056743144506548,25.821213391257377,0.46693170308521426,1.0,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L17/Raw_encoder_L17_global_rho0.5.json
qwen3_asr_1p7b,Raw,encoder,seame_dev_man,17,0.6296296296296297,oracle_local,0.5,0.2628272251308901,0.6767676767676768,-0.0010471204188481908,-0.02020202020202022,0.9919246298788694,0.9117647058823529,1,3,-2,7659.1777057647705,636,,12.042732241768507,25.790577582593233,0.46694309978914456,0.21450252951096122,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L17/Raw_encoder_L17_oracle_local_rho0.5.json
qwen3_asr_1p7b,Raw,decoder,seame_dev_man,18,0.6666666666666666,global,0.5,0.2670157068062827,0.6666666666666666,-0.005235602094240843,-0.010101010101010055,0.9878869448183042,0.9705882352941176,0,1,-1,104880.79786682129,869,,120.69136693535246,266.31071368569746,0.45319756484823065,0.18356569497253908,results/basis_a4/qwen3_asr_1p7b/raw/seame_dev_man/L18/Raw_decoder_L18_global_rho0.5.json
