model,layer,raw_norm,conditioning_norm,raw_l2,unit_l2,cosine,angle_degrees,raw_hash,conditioning_hash
qwen3_asr_1p7b,1,1.0000000061862766,1.0000000251038461,1.4149419548169815,1.4149419326801282,-0.0010303364282883316,90.05903393926451,sha256:5c79d6b3898462f69ad708dbaf62a08e3e5f01b7cd9746431eee5d18929d1d43,sha256:9dffa611528d4ffb0b4bf5bb1f65de8ef03efae1eb1b7f591ab0d966dce8a565
qwen3_asr_1p7b,2,1.000000015826737,1.0000000052092153,1.411263299994829,1.4112632851511953,0.004167969992128168,89.7611922188834,sha256:65c4d0afd95f92b8c3e37754705140ac42cdbed5d5a05cac42e53f58af745bbf,sha256:0c14a5ad2c12ba0497702c8a6be5c2893261dfc0d92888e7e1530a68f8ac8849
qwen3_asr_1p7b,3,0.9999999582927113,1.0000000168109056,1.459947504673657,1.459947522847363,-0.06572338473407552,93.76838885400323,sha256:b7acb3fc98dabdb3bd9d34c9cdff8020ff2f5382d104157e63017f9230ae86ed,sha256:3e6796835e963d7f1b68b6dbade7577d2239228cfa4ba2e801bece4bb33574a7
qwen3_asr_1p7b,4,0.9999999537747722,1.0000000315323174,1.4610112220089093,1.4610112327421618,-0.0672769110993857,93.85759683664406,sha256:13bce06c6a4680e29a2720622270a1b7b43ac8ea795f916eb00e6093701ddfed,sha256:6a5aec94b74e425b23368468ba89232363b4f820894ac0cef47988610d5e8575
qwen3_asr_1p7b,5,1.0000000277476677,1.0000000297349665,1.4535220612013813,1.4535220194252438,-0.05636313047701947,93.23108179027423,sha256:9c84d37cd9a879e2e34f2af75819734d00bac41cbbde9db2ef005606c40d59f1,sha256:9276cb98f4c8a9281e336b1a093d4f6970504c62e4f07c1f39e7c6dd85bd2be3
qwen3_asr_1p7b,6,0.9999999722645428,0.9999999958202128,1.45301904165316,1.4530190648398893,-0.05563220139409308,93.18913682189131,sha256:7c392c664b2cdd9140989523d06ab6b5f75f0fed52b5762068f090591af6ee14,sha256:fa5b7e3388525c21a18542220e1fcbebafd4fda77d3988124c4611793e0a05d2
qwen3_asr_1p7b,7,0.9999999891467376,1.000000037982359,1.4393832616329438,1.43938324210836,-0.035912058831186866,92.05805193642647,sha256:37b7b9a7838e058febab579614f7658b437100312ebc969d84a9384d8317b7fd,sha256:0db3f1319aa39d75929a7d57d900679a8568d452f8f1a46c80e11a974b1256fd
qwen3_asr_1p7b,8,1.0000000031374,0.9999999817372321,1.4441517287492969,1.4441517396709602,-0.042787123597329835,92.45227023214609,sha256:44286bb6831835495ab3e1faa6bf3d28dbca200d87e8d42780f77437872bf9aa,sha256:a168cc09322010e0d767db92c092f973b0916d567d504187fb8d47d436714a95
qwen3_asr_1p7b,9,1.0000000413684615,1.0000000041194268,1.453116614131999,1.4531165810823965,-0.05577389910829649,93.19726812771852,sha256:bdffe33e83b9863cbe553b1184b538584b431a0e9f9359cc8d26ff00dc3ace03,sha256:1d17ccee34d34bc7f7cccf9ce9bf15a325ba90ad90bad467ad7130a10283a383
qwen3_asr_1p7b,10,1.0000000619192317,1.0000000239304911,1.4428002843324048,1.4428002224004053,-0.04083624087932915,92.34039503440366,sha256:5c4c5b2c2fce403b8020db00187542c02214692089d227089fd9b1c91d78674d,sha256:46259f97588ebb98b759edbbbe639f1769b731b34288c6099ea655e654ec7b66
qwen3_asr_1p7b,11,0.9999999413010275,0.999999971947154,1.4091359631131615,1.4091360242357176,0.007167832600577823,89.58930992695235,sha256:730ab8fdbfcde73922984ea9a80277938d5570620b32c65ff29c40cbba30987c,sha256:59b71fff77d4329e89b15767a59e76a5a752fabbf3f55f30738f47955bc32404
qwen3_asr_1p7b,12,1.0000000233297486,0.9999999592772431,1.4121062158064888,1.4121062280868757,0.00297800029912846,89.82937289926994,sha256:0c149ebda36714f90e08c826dd5fcb2467d1a4e9cf943f3aec22d5fc287e8636,sha256:6c860095b53b98a0bbd75d709d7d3f829b9a157414404b29bf44a050cd44541e
qwen3_asr_1p7b,13,0.999999990469489,1.0000000415804422,1.427686060278528,1.4276860373999078,-0.019143710693325475,91.09692083413327,sha256:a85173de74d302e61a620cf22ffa70fe07a754544bfd5f6445da25eb1cbd8948,sha256:f0b53faea022741a0ab588a610d236b8c240f40ede2a81071551dfbe9eceb840
qwen3_asr_1p7b,14,1.000000019138846,1.0000000318348072,1.4342537853384298,1.4342537487838531,-0.028541907950267887,91.63555298069743,sha256:db0ee43e935ba39e3217adf9f3b4fca5c3525ccb630958b905851beaefac4d17,sha256:0d0e85902404a140783b0f2797f54c2b969d95fbf49fcf531364fac138bf47cd
qwen3_asr_1p7b,15,0.9999999733890199,0.9999999764478535,1.4006742358334343,1.400674270964535,0.01905579332898442,88.90811737884623,sha256:5940491f66d0639a2efb8c6f02fe5c67e8157ecc0904defdab96ce53a3fed661,sha256:a3483ad5f431e835a051b1f97c42b0e7b78db56aaa5b04f2e6fb504b2f19051d
qwen3_asr_1p7b,16,0.9999999749205306,0.9999999546572328,1.378958755863325,1.3789588044180066,0.04923630785903123,87.17782631786382,sha256:22c273862ca640e52834b18097cd6fce86c7c1e22b4026e68cde0ac26e5b5645,sha256:faa1e7752d62ba40b420e0f04ac68e41ec8d95a718c8df86669a6921cd0c3269
qwen3_asr_1p7b,17,0.9999999916479758,0.9999999453846758,1.367988579993263,1.3679886230625706,0.06430356358568606,86.31313338198156,sha256:8778d923f7e73c119475f0d601919ecce24d39df1ba8ab5534df20ecbab143af,sha256:571f45e6a66329783e096841a10119967213a2e90af1e585ad7ea9c14e822744
qwen3_asr_1p7b,18,1.0000000759094756,0.9999999797549088,1.3216003553866167,1.3216003186035807,0.12668629893345693,82.72185214214473,sha256:1719722c7a9e3c74e6b1c02663118d21f5d1813245568c71be5429803b5ac472,sha256:ebe7c71a56900f3158ff55920c31ba874407c8dbc37ecf1e0d2f5e7913f1b95a
qwen3_asr_1p7b,19,1.0000000410881356,0.9999999698580694,1.2713240717510088,1.2713240647929207,0.19186756113920275,78.93820696758664,sha256:ba66a75fe10a825ecc232c846202b3b05ae452dd37735d1f63c08ca62ff559cb,sha256:54b496c9baa1e9f859a3978a17c247d82dc5ec9134396372b30832950af121d8
qwen3_asr_1p7b,20,1.000000016163426,0.9999999857141574,1.217553336123995,1.217553334980966,0.25878193823836426,75.00220105489218,sha256:3721eb46d0127f33f4a5551f315a67fe6fe27500212af01b1468152637a2c9ca,sha256:4a314a1eca325316ce66b729d27f7eed450cddcbe92a79e101905ae5b123efac
qwen3_asr_1p7b,21,0.999999984153666,0.9999999307054488,1.2005267830596598,1.2005268341666178,0.2793676602229394,73.77753167032442,sha256:3b7333d2ae202bdb3cf141d1ef8c6ace593b07e77e6b92367082993a6d675d5c,sha256:a13fdf87693b8f170582ccb8ed4a67f843aa0ff9b268633e5546b53041650de8
qwen3_asr_1p7b,22,1.0000000174073014,1.0000000461202838,1.17158600336385,1.1715859661498362,0.31369316196037766,71.71806080658561,sha256:ad8103515fd3d6a9216949e054924e10b65a22a165d449f1adcc86fd145bc291,sha256:c0045c3e26b059d982145988e2c2de4d507b3c0968fb6be955e0d06a4618431d
qwen3_asr_1p7b,23,1.0000000622581224,0.9999999971397546,1.1593102464050853,1.159310211974801,0.327999916205471,70.85257657518154,sha256:ac2251af8aa8b71b222904994631e0a8716d11a312042e31bcc90da7acde2259,sha256:ce1ba868f69c8e0763078b2b84548ff02cd0d0c51cc21daae5c85ca7f6a00cd3
qwen3_asr_1p7b,24,1.000000042802537,1.0000000158625229,1.1471677278472905,1.1471676941979596,0.3420031406942686,70.00103669624576,sha256:15e674eaddb13f95f8cbbd52732a702dae76c1c5cb720b8a0986570d8ed288d4,sha256:982b77cd815d2af8601072587434749cd5252db1f9549c373da6de639c07ad1f
qwen3_asr_1p7b,25,1.000000001736701,1.0000000060037428,1.1253662061808918,1.125366201825475,0.3667754558944525,68.48311179083738,sha256:e5aa723ce60812ad80b8101624ef77393a5827aa87d207d513742a6d8d480232,sha256:c032d10d91ce69aa4efa16d3396546fc0a9131e94df334deeaba2f91c2ceb59a
qwen3_asr_1p7b,26,1.000000028504735,0.9999999808766947,1.1611351103988554,1.161135104952301,0.3258826340237046,70.98094232669435,sha256:b37e3c16d6b976c5bd56934f77093dda27054c53049f22da117f692e894ba845,sha256:e3782ffe664cb993aa0757db13e9417b4901c9818db5b7499e37397dce480269
qwen3_asr_1p7b,27,0.9999999257455836,0.999999947446941,1.1398794203678952,1.1398794926405156,0.35033737112880053,69.49204837697121,sha256:40e766318b4ed4738f72c458d9b50acdf5b949d86ea9e83da0e3367ef4b92b61,sha256:dda87f8dc708598b44fe584fc767256b6c851da22171349a53d81a79fbb2692d
