Dataset,Side,Layer,Scope,rho,MER,PIER,EN-WER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,Edited,Energy,FractionEdited,PIER-gain,MER-gain,Matrix-CER-gain
seame_dev_man,decoder,2,global,1.0,0.675392670157068,0.9292929292929293,0.9292929292929293,0.6443661971830986,0,24,,0.7619047619047619,968,3090.1565001010895,,-0.24242424242424243,-0.31099476439790574,-0.323943661971831
seame_dev_man,decoder,2,oracle_local,0.25,0.362303664921466,0.6868686868686869,0.7171717171717171,0.318075117370892,0,0,,1.0,69,69.98148989677429,,0.0,0.002094240837696326,0.0023474178403756207
seame_dev_man,decoder,2,oracle_local,1.0,0.3581151832460733,0.7070707070707071,0.7070707070707071,0.3145539906103286,1,3,,0.989247311827957,68,214.9756679534912,,-0.02020202020202022,0.006282722513089034,0.005868544600938996
seame_dev_man,encoder,2,global,0.25,0.44607329842931936,0.7070707070707071,0.7171717171717171,0.4119718309859155,1,3,,0.9370199692780338,11400,54861.194107055664,1.0,-0.02020202020202022,-0.08167539267015705,-0.09154929577464788
seame_dev_man,encoder,2,global,1.0,3.6732984293193716,0.8484848484848485,1.5858585858585859,3.9107981220657275,2,18,,0.6390168970814132,11400,242676.05200195312,1.0,-0.16161616161616166,-3.3089005235602094,-3.59037558685446
seame_dev_man,encoder,2,oracle_local,0.25,0.42408376963350786,0.7272727272727273,0.7575757575757576,0.3826291079812207,2,6,,0.8832565284178188,2367,11374.73111820221,0.20763157894736842,-0.04040404040404044,-0.059685863874345546,-0.06220657276995306
seame_dev_man,encoder,2,oracle_local,1.0,0.49109947643979057,0.7878787878787878,0.8080808080808081,0.4518779342723005,1,11,,0.7588325652841782,2367,50459.83327293396,0.20763157894736842,-0.101010101010101,-0.12670157068062826,-0.13145539906103287
seame_dev_man,encoder,16,global,0.25,0.6795811518324607,0.7272727272727273,0.7373737373737373,0.6713615023474179,4,8,,0.9047619047619048,11400,54362.31581115723,1.0,-0.04040404040404044,-0.3151832460732984,-0.35093896713615025
seame_dev_man,encoder,16,global,1.0,1.5329842931937172,1.0,1.0,1.5974178403755868,0,31,,0.06451612903225806,11400,242124.82482910156,1.0,-0.31313131313131315,-1.168586387434555,-1.276995305164319
seame_dev_man,encoder,16,oracle_local,0.25,0.4094240837696335,0.7171717171717171,0.7272727272727273,0.36971830985915494,4,7,,0.8786482334869432,2367,11293.155365467072,0.20763157894736842,-0.030303030303030276,-0.04502617801047121,-0.049295774647887314
seame_dev_man,encoder,16,oracle_local,1.0,0.4827225130890052,0.8080808080808081,0.8282828282828283,0.44014084507042256,0,12,,0.7511520737327189,2367,50267.41873168945,0.20763157894736842,-0.12121212121212122,-0.1183246073298429,-0.11971830985915494
seame_dev_man,encoder,21,global,0.25,0.6596858638743456,0.898989898989899,0.9090909090909091,0.6279342723004695,0,21,,0.7403993855606759,11400,69384.74917602539,1.0,-0.21212121212121215,-0.29528795811518327,-0.3075117370892019
seame_dev_man,encoder,21,global,1.0,0.9685863874345549,1.0,1.0,0.9647887323943662,0,31,,0.039938556067588324,11400,218160.96032714844,1.0,-0.31313131313131315,-0.6041884816753926,-0.6443661971830986
seame_dev_man,encoder,21,oracle_local,0.25,0.3581151832460733,0.7474747474747475,0.7676767676767676,0.3075117370892019,1,7,,0.9754224270353302,2367,14406.839023590088,0.20763157894736842,-0.06060606060606066,0.006282722513089034,0.012910798122065748
seame_dev_man,encoder,21,oracle_local,1.0,0.6607329842931937,0.8181818181818182,0.8282828282828283,0.6396713615023474,5,18,,0.6835637480798771,2367,45198.285415649414,0.20763157894736842,-0.13131313131313138,-0.2963350785340314,-0.31924882629107976
seame_dev_man,decoder,24,global,0.25,0.34973821989528797,0.6262626262626263,0.6565656565656566,0.31103286384976525,7,1,,0.9723502304147466,907,1982.611646413803,,0.06060606060606055,0.014659685863874339,0.009389671361502372
seame_dev_man,decoder,24,global,1.0,1.3780104712041885,0.8080808080808081,6.1313131313131315,0.8262910798122066,8,20,,0.23963133640552994,1875,12606.19861650467,,-0.12121212121212122,-1.013612565445026,-0.505868544600939
seame_dev_man,decoder,24,oracle_local,0.25,0.3612565445026178,0.6565656565656566,0.7070707070707071,0.318075117370892,4,1,,0.9969278033794163,68,146.68583476543427,,0.030303030303030276,0.003141361256544517,0.0023474178403756207
seame_dev_man,decoder,24,oracle_local,1.0,0.362303664921466,0.6464646464646465,0.7070707070707071,0.3192488262910798,8,4,,0.9600614439324117,68,461.9761881828308,,0.04040404040404033,0.002094240837696326,0.0011737089201878104
seame_dev_man,decoder,27,global,0.25,0.362303664921466,0.5959595959595959,0.6464646464646465,0.32511737089201875,10,1,,0.9615975422427036,913,2787.409594297409,,0.09090909090909094,0.002094240837696326,-0.0046948356807511304
seame_dev_man,decoder,27,global,1.0,1.294240837696335,0.8484848484848485,2.4646464646464645,0.852112676056338,5,21,,0.3271889400921659,3947,37145.37012434006,,-0.16161616161616166,-0.9298429319371727,-0.5316901408450704
seame_dev_man,decoder,27,oracle_local,0.25,0.362303664921466,0.6767676767676768,0.7171717171717171,0.318075117370892,2,1,,0.9984639016897081,68,206.37352919578552,,0.010101010101010055,0.002094240837696326,0.0023474178403756207
seame_dev_man,decoder,27,oracle_local,1.0,0.3842931937172775,0.7272727272727273,0.7777777777777778,0.33568075117370894,2,6,,0.9539170506912442,66,641.2796678543091,,-0.04040404040404044,-0.019895287958115182,-0.015258215962441313
seame_dev_sge,decoder,0,global,0.25,0.30609896432681244,0.8295454545454546,0.8295454545454546,0.23994811932555124,0,0,,0.9916666666666667,717,392.9907279908657,,0.0,-0.0034522439585730758,-0.0038910505836576015
seame_dev_sge,decoder,0,global,1.0,0.6294591484464902,0.9204545454545454,0.9545454545454546,0.5888456549935149,0,8,,0.8016666666666666,1006,1824.9996719360352,,-0.09090909090909083,-0.32681242807825084,-0.3527885862516213
seame_dev_sge,decoder,0,oracle_local,0.25,0.30149597238204834,0.8295454545454546,0.8295454545454546,0.23476005188067445,0,0,,1.0,38,20.963758647441864,,0.0,0.0011507479861910253,0.0012970168612191912
seame_dev_sge,decoder,0,oracle_local,1.0,0.3130034522439586,0.8522727272727273,0.8636363636363636,0.24254215304798962,0,2,,0.99,38,66.33612871170044,,-0.022727272727272707,-0.010356731875719227,-0.006485084306095984
seame_dev_sge,decoder,2,global,0.25,0.3130034522439586,0.8409090909090909,0.8409090909090909,0.24643320363164722,0,1,,0.9866666666666667,707,716.6278356313705,,-0.011363636363636354,-0.010356731875719227,-0.010376134889753585
