Dataset,Side,Layer,Scope,rho,MER,PIER,EN-WER,Matrix-CER,Corr,Corrupt,Outside,Matrix-Ret,Edited,Energy,FractionEdited,PIER-gain,MER-gain,Matrix-CER-gain
cs_dialogue,decoder,26,oracle_local,0.5,0.25455949622764806,0.4620811287477954,0.4660493827160494,0.21816802317561043,78,60,271,0.9798669316512573,1798,8628.052689313889,,0.007936507936507964,0.007901146557357575,0.007932128569457852
cs_dialogue,encoder,26,global,0.5,1.4571377651042594,0.9470899470899471,0.9929453262786596,1.531866464339909,26,1108,11333,0.09651775684783548,245535,2800197.5036621094,,-0.47707231040564374,-1.1946771223192538,-1.3057663125948407
cs_dialogue,encoder,26,oracle_local,0.5,0.7027861937860156,0.7182539682539683,1.0220458553791887,0.6516071182232032,42,605,4042,0.6859068521558801,79516,898601.1316986084,,-0.2482363315696649,-0.44032555100100995,-0.4255069664781349
cs_dialogue,decoder,27,global,0.5,0.3987999762371532,0.4210758377425044,0.46472663139329806,0.3850186232583805,227,116,2738,0.7705003024280653,14907,86894.63762521744,,0.04894179894179895,-0.13633933345214755,-0.1589184715133122
cs_dialogue,decoder,27,oracle_local,0.5,0.25164854749599,0.44312169312169314,0.44929453262786595,0.21734032280314527,123,62,243,0.982286356173853,1809,10275.423062324524,,0.026895943562610214,0.01081209528901561,0.008759828941923009
cs_dialogue,encoder,27,global,0.5,1.2763619081565971,0.8884479717813051,0.9656084656084656,1.3262518968133536,58,1007,9266,0.26777844984014515,245535,2801217.1970214844,,-0.4184303350970017,-1.0139012653715915,-1.1001517450682854
cs_dialogue,encoder,27,oracle_local,0.5,0.4963464623061843,0.650352733686067,0.7513227513227513,0.4542005793902607,87,496,2713,0.7934848353927244,79516,899106.2006835938,,-0.1803350970017637,-0.23388581952117865,-0.22810042764519242
cs_dialogue,decoder,28,global,0.5,0.36434384839303746,0.41798941798941797,0.48236331569664903,0.3417712787970755,199,81,2056,0.8270975546530718,13949,95180.02101421356,,0.052028218694885386,-0.10188320560803182,-0.11567112705200719
cs_dialogue,decoder,28,oracle_local,0.5,0.2585397730648132,0.45634920634920634,0.46119929453262787,0.2236170506276728,74,43,277,0.9783115873153029,1812,12082.7230052948,,0.013668430335097015,0.003920869720192455,0.0024831011173954975
cs_dialogue,encoder,28,global,0.5,0.7440147329650092,0.722663139329806,0.7641093474426808,0.7398261829217823,199,772,6920,0.45502462628531926,245535,2845929.7749023438,,-0.2526455026455026,-0.48155409018000356,-0.513726031176714
cs_dialogue,encoder,28,oracle_local,0.5,0.3956513990376047,0.6247795414462081,0.7054673721340388,0.344530280038626,92,443,2371,0.8201849131599412,79516,912901.4825744629,,-0.1547619047619047,-0.13319075625259907,-0.11843012829355773
cs_dialogue,decoder,29,global,0.5,0.3792550347531634,0.40652557319223986,0.45811287477954143,0.35018623258380466,231,87,2297,0.807569342434978,14404,108746.52691698074,,0.06349206349206349,-0.11679439196815777,-0.12408608083873637
cs_dialogue,decoder,29,oracle_local,0.5,0.25806451612903225,0.44488536155202824,0.4783950617283951,0.22023727410677335,83,26,256,0.9791756675019442,1820,13468.904732704163,,0.025132275132275117,0.004396126655973387,0.005862877638294933
cs_dialogue,encoder,29,global,0.5,1.002613913146795,0.906084656084656,1.06657848324515,0.9926196716788522,56,1045,9767,0.22708027304933898,245535,2882521.9244384766,,-0.4360670194003527,-0.7401532703617895,-0.766519519933784
cs_dialogue,encoder,29,oracle_local,0.5,0.5049010871502406,0.6556437389770723,0.832010582010582,0.4515795282107877,77,498,3214,0.7509720902099715,79516,923852.076461792,,-0.18562610229276894,-0.24244044436523499,-0.2254793764657194
