Dataset,Direction,Side,Layer,rho,Delta-MER,Delta-PIER,Delta-MatrixRet,Delta-Outside
seame_dev_sge,Raw,decoder,29,0.5,-0.07249712313003454,0.03409090909090917,0.1383333333333333,
seame_dev_sge,Raw,decoder,30,0.5,-0.07594936708860761,0.03409090909090917,0.125,
seame_dev_sge,Raw,decoder,31,0.5,-0.046029919447640955,0.045454545454545525,0.09499999999999997,
seame_dev_sge,Raw,encoder,0,0.5,-0.17951668584579983,0.05681818181818177,0.015000000000000013,
seame_dev_sge,Raw,encoder,1,0.5,-0.19562715765247407,0.045454545454545414,0.03166666666666673,
seame_dev_sge,Raw,encoder,2,0.25,0.052934407364787106,0.06818181818181823,-0.05166666666666664,
seame_dev_sge,Raw,encoder,2,0.5,-0.22784810126582278,0.06818181818181812,0.011666666666666714,
seame_dev_sge,Raw,encoder,2,1.0,-2.758342922899885,0.0,0.20333333333333337,
seame_dev_sge,Raw,encoder,3,0.5,-0.7767548906789413,0.05681818181818177,0.030000000000000027,
seame_dev_sge,Raw,encoder,4,0.5,-0.7848101265822784,0.05681818181818177,0.033333333333333326,
seame_dev_sge,Raw,encoder,5,0.5,-0.5420023014959724,0.05681818181818177,0.0033333333333332993,
seame_dev_sge,Raw,encoder,6,0.5,-0.5086306098964327,0.045454545454545414,0.0016666666666665941,
seame_dev_sge,Raw,encoder,7,0.5,-0.9620253164556961,0.022727272727272707,0.023333333333333317,
seame_dev_sge,Raw,encoder,8,0.5,-0.48446490218642113,0.03409090909090906,0.015000000000000013,
seame_dev_sge,Raw,encoder,9,0.5,-0.9723820483314154,0.03409090909090906,0.009999999999999898,
seame_dev_sge,Raw,encoder,10,0.5,-0.6340621403912544,0.022727272727272707,-0.0016666666666667052,
seame_dev_sge,Raw,encoder,11,0.5,-0.016110471806674354,0.022727272727272707,0.010000000000000009,
seame_dev_sge,Raw,encoder,12,0.5,-0.8918296892980436,0.03409090909090906,0.020000000000000018,
seame_dev_sge,Raw,encoder,13,0.5,-0.2715765247410816,-0.011363636363636354,0.08333333333333326,
seame_dev_sge,Raw,encoder,14,0.5,-0.811277330264672,-0.045454545454545525,0.2816666666666667,
seame_dev_sge,Raw,encoder,15,0.5,-1.6041426927502878,-0.011363636363636354,0.22833333333333328,
seame_dev_sge,Raw,encoder,16,0.25,0.04833141542002306,0.06818181818181823,-0.036666666666666736,
seame_dev_sge,Raw,encoder,16,0.5,-0.7318757192174913,-0.03409090909090917,0.2649999999999999,
seame_dev_sge,Raw,encoder,16,1.0,-0.7019562715765247,-0.06818181818181823,0.72,
seame_dev_sge,Raw,encoder,17,0.5,-0.5650172612197929,0.0,0.34166666666666673,
seame_dev_sge,Raw,encoder,18,0.5,-0.39585730724971224,-0.03409090909090917,0.41666666666666663,
seame_dev_sge,Raw,encoder,19,0.5,-1.293440736478711,-0.09090909090909094,0.545,
seame_dev_sge,Raw,encoder,20,0.5,-0.6708860759493671,-0.07954545454545459,0.6433333333333333,
seame_dev_sge,Raw,encoder,21,0.25,-0.14384349827387805,-0.045454545454545414,0.21166666666666667,
seame_dev_sge,Raw,encoder,21,0.5,-0.8066743383199079,-0.07954545454545459,0.5816666666666666,
seame_dev_sge,Raw,encoder,21,1.0,0.035673187571921616,-0.06818181818181823,0.6950000000000001,
seame_dev_sge,Raw,encoder,22,0.5,-1.0080552359033372,-0.07954545454545459,0.5349999999999999,
seame_dev_sge,Raw,encoder,23,0.5,-1.142692750287687,-0.11363636363636365,0.6666666666666667,
seame_dev_sge,Raw,encoder,24,0.5,-1.142692750287687,-0.07954545454545459,0.7416666666666666,
seame_dev_sge,Raw,encoder,25,0.5,-1.0322209436133485,-0.05681818181818188,0.6933333333333334,
seame_dev_sge,Raw,encoder,26,0.5,-0.23475258918296893,-0.05681818181818188,0.74,
seame_dev_sge,Raw,encoder,27,0.5,-0.4683544303797468,-0.07954545454545459,0.6933333333333334,
seame_dev_sge,Raw,encoder,28,0.5,-0.8216340621403914,-0.022727272727272707,0.54,
seame_dev_sge,Raw,encoder,29,0.5,-0.3901035673187573,-0.05681818181818188,0.6466666666666666,
seame_dev_sge,Raw,encoder,30,0.5,-0.08285385500575371,-0.06818181818181823,0.5866666666666667,
seame_dev_sge,Raw,encoder,31,0.5,-0.20253164556962022,-0.05681818181818188,0.6466666666666666,
cs_dialogue,Conditioning,decoder,24,0.25,-0.021327154993168174,-0.028659611992945366,0.019614620236757974,-274.0
cs_dialogue,Conditioning,decoder,24,0.5,-0.029644151369334015,-0.049823633156966474,0.037328264062905014,-514.0
cs_dialogue,Conditioning,decoder,24,1.0,-0.1270124160874473,-0.13095238095238093,0.14499265531841354,-1910.0
cs_dialogue,Conditioning,decoder,26,0.25,-0.006772411334877937,-0.001763668430335097,0.02886027823382009,-353.0
cs_dialogue,Conditioning,decoder,26,0.5,-0.03130755064456725,-0.029541446208112887,0.06515164607275559,-828.0
cs_dialogue,Conditioning,decoder,26,1.0,-0.31325372779659005,-0.050705467372134105,0.3520262680376739,-4209.0
cs_dialogue,Conditioning,decoder,27,0.25,-0.024594546426661923,-0.011463844797178102,0.027650565972522245,-344.0
cs_dialogue,Conditioning,decoder,27,0.5,-0.02138656211014084,-0.011463844797178102,0.042944785276073594,-548.0
cs_dialogue,Conditioning,decoder,27,1.0,-0.5915760708132833,-0.21296296296296297,0.573317203836516,-7054.0
cs_dialogue,Conditioning,decoder,31,0.25,-0.027683716509237816,0.05379188712522048,0.03853797632420297,-455.0
cs_dialogue,Conditioning,decoder,31,0.5,-0.8345511792312719,-0.1036155202821869,0.6565281258100751,-7831.0
cs_dialogue,Conditioning,decoder,31,1.0,-1.9607318956811026,-0.2940917107583775,0.6935971658169878,-8464.0
seame_dev_man,Conditioning,decoder,24,0.25,-0.004188481675392708,-0.030303030303030276,0.010752688172043001,
seame_dev_man,Conditioning,decoder,24,0.5,-0.09738219895287958,-0.101010101010101,0.056835637480798784,
seame_dev_man,Conditioning,decoder,24,1.0,-0.06701570680628277,-0.13131313131313127,0.09216589861751145,
seame_dev_man,Conditioning,decoder,26,0.25,0.002094240837696326,0.0,0.019969278033794113,
seame_dev_man,Conditioning,decoder,26,0.5,-0.032460732984293195,0.0,0.07066052227342545,
seame_dev_man,Conditioning,decoder,26,1.0,-0.4607329842931937,-0.08080808080808077,0.2519201228878648,
seame_dev_man,Conditioning,decoder,27,0.25,-0.0062827225130889786,0.010101010101010166,0.030721966205837226,
seame_dev_man,Conditioning,decoder,27,0.5,-0.007329842931937169,0.02020202020202011,0.043010752688172005,
seame_dev_man,Conditioning,decoder,27,1.0,-0.625130890052356,-0.02020202020202022,0.38863287250384027,
seame_dev_man,Conditioning,decoder,31,0.25,-0.005235602094240843,0.12121212121212122,0.06605222734255001,
seame_dev_man,Conditioning,decoder,31,0.5,-2.037696335078534,-0.04040404040404044,0.4869431643625192,
seame_dev_man,Conditioning,decoder,31,1.0,-7.451308900523561,-0.3535353535353536,0.7895545314900153,
seame_dev_sge,Conditioning,decoder,24,0.25,-0.01726121979286538,-0.022727272727272707,0.01666666666666672,
