model,side,layer,cos_unique_shared,cos_unique_raw,cos_shared_raw,cos_unique_conditioning,cos_shared_conditioning,i_unique,i_shared,sigma_unique,sigma_shared,energy_A_unique,energy_B_unique,energy_A_shared,energy_B_shared,count_a,count_b,direction_hash
whisper,decoder,25,-9.020562075079397e-17,0.23578145981336573,-0.14181758827191623,-0.02745674106992351,0.047541084591616975,0,3,0.9876993096783429,0.9249762275276955,42.3906824771032,31.424102764480104,2.4439473733038164,1.4783822023406914,453,378,sha256:7bfd191c7bb92d40ceb4ba2eb7302cbad1bf511e27fd22b271729b0e5f60dbca
whisper,decoder,26,-2.2985086056692694e-16,0.20643530794547474,-0.22769942465898654,0.015589572788160882,0.03079021040198922,0,3,0.9901647592456195,0.9187551180537022,54.04435703241087,42.22380364957915,3.074450585697332,1.7456116923074256,453,378,sha256:961df4948801e77c5f1b9a2a37f1b0346727a60fd8bc72aa9db06f6266303523
whisper,decoder,27,3.469446951953614e-17,0.152430399929794,-0.2095076702694507,0.029720897015899674,0.06637905287658055,0,3,0.9910087106790235,0.908704978463208,73.0867205330232,62.011747971716815,4.323529645919945,2.6642226712396484,453,378,sha256:43acaa898ffe9e60702baa6390ee1ce7bd556ff8e80d283ef814ebc39d9deb48
whisper,decoder,28,3.469446951953614e-17,0.10294621413890465,-0.011607982926816652,-7.816448120157027e-05,-0.06444829958215188,0,1,0.9896643034952635,0.8822288018164032,94.15376988103418,83.53548583465958,3.016998227510701,2.5103027686031414,453,378,sha256:8648ba65421dad13f71ba84263221f9542245e176aaf327400573b67b7702677
whisper,decoder,29,-8.847089727481716e-17,0.04400220744069942,-0.12611653673444914,-0.026399822032743336,0.10747003410261102,0,2,0.9907778785422633,0.8596649075592514,116.31305926671249,107.94055124478358,4.964265965285492,2.262208855507815,453,378,sha256:25525f4f46e388ba3311f2e14bab1f9878f7c05bb804e175ed6cbee1d305d450
whisper,decoder,30,9.540979117872439e-18,0.010803995596703902,0.013672450391565876,-0.05598640757633773,0.18306962526970932,0,1,0.9915538780846123,0.8794267859683693,140.2905265401206,131.47375655413376,6.294932408323664,2.4937885307210177,453,378,sha256:1cd2a9e4946a77e4fba70d8a76f6fc08d22743a201aaa6cd2036145608bfac55
whisper,decoder,31,1.1449174941446927e-16,0.08441561548455943,0.01361266520656302,0.11503209483975853,0.2889742077923556,0,1,0.992721295691971,0.9073780417786551,169.19462430048623,171.79541116746378,9.923893243451248,3.5387632170799987,453,378,sha256:21bf0e918ab7bb5a41e531b7d90c01a90ad27bc244126608994d399b630d8ee5
qwen3_asr_1p7b,encoder,0,-3.469446951953614e-18,-0.00020954193323313546,-0.018508403501401628,,,28,0,0.9868079214963112,0.999964271856223,1.7582870277479468,1.4299875829910078,354.22015897611186,358.00522593676345,4002,3824,sha256:513219872959b1361ae0b88d0ee023d8650609298805d57a90c57b338ea5bf7a
qwen3_asr_1p7b,encoder,1,0.0,0.029653423828925336,-0.020590531359108696,,,31,0,0.9821944887252995,0.9999635413897496,1.2183574409261815,1.1594916414021061,385.2929847100204,390.25163641382176,4002,3824,sha256:a8bb814ab659d69371103d451f726cf9fbc8eb0c427edabb5b4833caa1868282
qwen3_asr_1p7b,encoder,2,3.469446951953614e-17,0.08492062636235884,-0.025569625261248174,,,28,0,0.9837564793412175,0.9999486011506572,1.5293719536399961,1.524463578906371,366.10694927934514,369.7286086597678,4002,3824,sha256:44b2fa4855c7934c7bf6b8a6049c01a080aa90fb6b186bb5719527114b0eeceb
qwen3_asr_1p7b,encoder,3,-3.469446951953614e-18,0.1579144087443956,-0.05584834185723893,,,31,0,0.9778644576340212,0.9999374987200036,1.744893431546863,1.6138463756614194,379.80081941739934,383.6247993797039,4002,3824,sha256:8e0680260a284062fcd8fc4df3898d22fcc4f36f96008d98e09b9596c0901f22
qwen3_asr_1p7b,encoder,4,-1.3877787807814457e-17,0.13443891068211536,0.05142478797461716,,,28,0,0.9819421555284464,0.9999389507304355,2.1953014411694562,1.9833084521297901,441.65133405553684,445.3630836377438,4002,3824,sha256:44767fcb04093bb55f27336a218ecdfa3e72f34ab002ed9698a4d78dd690eb17
qwen3_asr_1p7b,encoder,5,-6.938893903907228e-18,0.03046775777332853,0.005377124104407466,,,27,0,0.9831141276798995,0.9999074397904734,2.9874568148100638,2.667129355798859,426.33531886919934,431.42914046667636,4002,3824,sha256:389b66eafce6f48508687c07fa55fbee99ce33ec85df08a38a35aaf4e55dd2e1
