model,side,layer,direction,comparator,cosine,angle_deg,raw_l2,unit_l2_identity,a5_norm,comparator_norm,direction_hash
whisper,encoder,14,neg_shared,Raw,0.0633095618991506,86.37020177494469,1.3687150432202229,1.3687150432202229,1.0,1.0000000000000002,sha256:376678cf55f49abcdcbcb85b7c0f03e67c27b4409d30b0028598fbb7880e7e21
whisper,encoder,14,pos_unique,Raw,0.6575272306265512,48.88844310140355,0.8276143668512729,0.8276143668512729,1.0,1.0000000000000002,sha256:93f4100114aea64e68580e9f09293ee54ed6f8acf5a9d64bb37634c9550a207b
whisper,encoder,14,unique_minus_shared,Raw,0.509708583135081,59.35557943804378,0.9902438238472455,0.9902438238472455,1.0,1.0000000000000002,sha256:bcf6f3f197d34d8ff5eec01f6571f965502495ac5c93c3fee6e5900b71dd9b93
whisper,encoder,15,neg_shared,Raw,0.040926778048247694,87.65441322764208,1.3849716433895147,1.3849716433895147,1.0,1.0,sha256:9cfe07a522f4002b36eebd097aa1179fed074edba1f889d52559a007fd4185f8
whisper,encoder,15,pos_unique,Raw,0.6265632469799681,51.20298217141399,0.8642184358812607,0.8642184358812607,1.0,1.0,sha256:e2093ccaf7aa7785257beeb42d08ee3f7453c5309b7db4ff5f1ee70f3a52afd9
whisper,encoder,15,unique_minus_shared,Raw,0.47198671969571954,61.836663724292194,1.0276315304146248,1.0276315304146248,1.0,1.0,sha256:2b261fcfa5a41abd1e06bdc696ca84a806fc7458d5ab7a4555e54b3a00c7679f
whisper,encoder,16,neg_shared,Raw,0.06625200211668741,86.20125744282596,1.3665635713996638,1.3665635713996638,1.0,1.0,sha256:770c4b589dc55014489e66376c2ebabc66c05c9d75e3c5de5251a58149a8d7bb
whisper,encoder,16,pos_unique,Raw,0.5849597002535971,54.1998569294822,0.9110875916411014,0.9110875916411014,1.0,1.0,sha256:8a89d4aaeb4bdcf7f17869f55ec76b3b6035f151875eadb9fef6c95dc90edbf6
whisper,encoder,16,unique_minus_shared,Raw,0.4604762124246368,62.582159111048135,1.0387721426382488,1.0387721426382488,1.0,1.0,sha256:21881bc935f345474e4f12ee48f44d657dbe969709e5f3590de92bb8f5573e08
whisper,encoder,17,neg_shared,Raw,0.09400721850522073,84.6058180992733,1.3461001249675533,1.3461001249675533,1.0,1.0,sha256:3040de15ec98fcd30ad9ac8956895aef307ebf97e3a4180b98a0ef9dda2efeed
whisper,encoder,17,pos_unique,Raw,0.578097505281441,54.683157749577234,0.9185885862115865,0.9185885862115865,1.0,1.0,sha256:d09c558600ca4ff8a6bf6f03fc53c29e164d3a465217d77bff5bc6df1939cb9f
whisper,encoder,17,unique_minus_shared,Raw,0.4752498060780299,61.62438387870156,1.024451259604885,1.024451259604885,1.0,1.0,sha256:0bc9e39e9db6e3fe6ae42738db9588cfea6e50293f1f71556b75b48e988eb44e
whisper,encoder,18,neg_shared,Raw,0.14098766678599178,81.89499771267849,1.3107344017299618,1.3107344017299618,1.0,1.0000000000000002,sha256:2dd66e6c9fa96b172c3c6f05e25a89a45271dc8e528e69626594a2d79bb33587
whisper,encoder,18,pos_unique,Raw,0.5395935886532052,57.344023049552874,0.9595899239239597,0.9595899239239597,1.0,1.0000000000000002,sha256:f124788c1e961eec11e783db025b2d34f77e316b9520c51c7ed8e4cc36241d24
whisper,encoder,18,unique_minus_shared,Raw,0.4812436212753827,61.23334357994145,1.0185836984558878,1.0185836984558878,1.0,1.0000000000000002,sha256:d5b4a4da5eb7ec548183e3f69ac86225dd95097cc9ecf0543aba8fc1750ddf16
whisper,encoder,19,neg_shared,Raw,0.09654040028696183,84.46001418742772,1.344216946512676,1.344216946512676,1.0,0.9999999999999999,sha256:13902bb3c79296f0f8cef904e917ba4f01bcd1ea2343a5e81a780bbbaa030327
whisper,encoder,19,pos_unique,Raw,0.5479146624824156,56.77593260255364,0.9508788953090933,0.9508788953090933,1.0,0.9999999999999999,sha256:fb2e94594f831b451f9b5ade66d56882275e452dde3186f41996fd14cc109e23
whisper,encoder,19,unique_minus_shared,Raw,0.45569854393178805,62.890111214833,1.0433613538214916,1.0433613538214916,1.0,0.9999999999999999,sha256:7be4771c03baf3b6bb9d9b38edee39013c2448a0182cff8788d180f7ea64a771
whisper,encoder,20,neg_shared,Raw,0.04458206241560216,87.44478906514657,1.3823298711967351,1.3823298711967351,1.0,1.0,sha256:56ef545343d31c1c47c694d4c2f0496073481db0f1da1e91331e8aa474efb674
whisper,encoder,20,pos_unique,Raw,0.46967661612979755,61.98669296246855,1.029877064211519,1.029877064211519,1.0,1.0,sha256:8da67d43b15d1ed889d0c2ffa70f7dbc71b6220a8807b23a20658e6669ea2dd3
whisper,encoder,20,unique_minus_shared,Raw,0.36363579953506864,68.67634843236661,1.1281526496154934,1.1281526496154934,1.0,1.0,sha256:7ec053b950d88703c19c6b12685611efc0f4c900ca3c138dc3f6cf36ed5177e4
whisper,encoder,21,neg_shared,Raw,0.9627548111711782,15.686641400695656,0.272929219551825,0.272929219551825,1.0,1.0,sha256:d74d2a409f36476efeeed1f625ab0dc6a2dc73a8b821d34e135f1081005cb1a5
whisper,encoder,21,pos_unique,Raw,0.10805161511366124,83.79698813142377,1.3356259831008648,1.3356259831008648,1.0,1.0,sha256:5b451740b5414ea5056ecd66c013e8ca6a18e682417e70f60e9441faa611fe47
whisper,encoder,21,unique_minus_shared,Raw,0.7571745039267135,40.784262410782986,0.6968866542716782,0.6968866542716782,1.0,1.0,sha256:1065162486be8f6cd743cd0231a50af3b1e55fac4583fb61e40bb987417fb94a
whisper,encoder,22,neg_shared,Raw,0.9448876197565561,19.110729384363008,0.332001083843509,0.332001083843509,1.0,1.0,sha256:2306f80c3722a529d0ff40ab97252f4975e666ada8c0d3c7efaca8b6f7ac095d
whisper,encoder,22,pos_unique,Raw,0.10711826808331869,83.8507771763074,1.3363246106296776,1.3363246106296776,1.0,1.0,sha256:f54dc5a5636e2a9afa2d8d5381274db89a31177738048f91a6510f1ba02b5673
whisper,encoder,22,unique_minus_shared,Raw,0.7438805180995316,41.936966180260335,0.7157087218212493,0.7157087218212493,1.0,1.0,sha256:d44f5ddf0cd3688eb5aa8e4387501ae70efc44abfbe59aa117d04dabf62d1220
whisper,encoder,23,neg_shared,Raw,0.9328604902712134,21.114803676014517,0.3664411036727221,0.3664411036727221,0.9999999403953552,1.0,sha256:e3c0558ff0fc3f8bc60c09a5dd2dc218a47903945f931568eefd3c35203a69bd
