direction,layer,rho,wer,mer,pier,en_wer,matrix_cer,corrections,corruptions,utility,outside_harm,embed_retention,matrix_retention,energy,utility_per_energy,edits,effective_dose,direction_hash,source
Local,1,2.0,n/a — no frozen canonical overall WER,1.2222222222222223,0.9852941176470589,0.9852941176470589,1.306532663316583,0,18,-182.0,176,0.05263157894736842,0.07865168539325842,563.6646060943604,-0.3228870467157419,146,7.225075277359905,sha256:dcf358eba772c95c522eaa71bc93a626314eb1032aeac0aed56d1e7f3005569a,NEW
Raw+Cond,1,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,207.55236822366714,0.0,232,0.9031344096699881,sha256:5554cbfac087ab6e5432cd89be03e9558688ae1f96f5de746d69c7b6e1bfa1bc,NEW
Raw+Cond,1,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,394.39948666095734,-0.0025355002575336585,231,1.8062688193399763,sha256:5554cbfac087ab6e5432cd89be03e9558688ae1f96f5de746d69c7b6e1bfa1bc,NEW
Raw+Cond,1,1.0,n/a — no frozen canonical overall WER,0.3,0.8382352941176471,0.8382352941176471,0.10552763819095477,0,8,-9.0,6,0.5789473684210527,0.9943820224719101,686.6429908275604,-0.013107248046256119,238,3.6125376386799526,sha256:5554cbfac087ab6e5432cd89be03e9558688ae1f96f5de746d69c7b6e1bfa1bc,NEW
Raw+Cond,1,2.0,n/a — no frozen canonical overall WER,2.7222222222222223,0.9852941176470589,1.0,3.336683417085427,0,18,-161.0,155,0.05263157894736842,0.19662921348314608,2537.3592240810394,-0.0634517960531622,649,7.225075277359905,sha256:5554cbfac087ab6e5432cd89be03e9558688ae1f96f5de746d69c7b6e1bfa1bc,NEW
Raw,1,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,200.55687952041626,0.0,232,0.9031344096699881,sha256:a65279569dd2e2df22f5d7298da052be8eacfbc24b29eb47d302ccc4f58061cd,NEW
Raw,1,0.5,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,-1.0,1,1.0,0.9943820224719101,370.29895401000977,-0.0027005207256755267,230,1.8062688193399763,sha256:a65279569dd2e2df22f5d7298da052be8eacfbc24b29eb47d302ccc4f58061cd,NEW
Raw,1,1.0,n/a — no frozen canonical overall WER,1.5074074074074073,0.8823529411764706,0.8823529411764706,1.728643216080402,1,12,-103.0,101,0.3684210526315789,0.48314606741573035,1686.295320034027,-0.061080641555668676,584,3.6125376386799526,sha256:a65279569dd2e2df22f5d7298da052be8eacfbc24b29eb47d302ccc4f58061cd,NEW
Raw,1,2.0,n/a — no frozen canonical overall WER,1.2296296296296296,0.9852941176470589,0.9852941176470589,1.3165829145728642,0,18,-185.0,179,0.05263157894736842,0.06179775280898876,522.8877823352814,-0.3538044036404277,136,7.225075277359905,sha256:a65279569dd2e2df22f5d7298da052be8eacfbc24b29eb47d302ccc4f58061cd,NEW
Conditioning,2,0.25,n/a — no frozen canonical overall WER,0.27037037037037037,0.7205882352941176,0.7205882352941176,0.10552763819095477,0,0,0.0,0,1.0,1.0,240.863010764122,0.0,231,1.0535904534477096,sha256:c82eff37b48fe6a95eb8aba29816cdee4c1fe84b56f50972faf94c853869aea7,NEW
