Dataset,Scope,geometry,outcome,pearson,spearman,n
seame_dev_sge,global,angle_deg,Raw-PIER-gain,0.9229184582280402,0.7999999999999999,4
seame_dev_sge,global,angle_deg,Cond-PIER-gain,-0.9371548625536122,-0.7999999999999999,4
seame_dev_sge,global,angle_deg,Raw-Matrix-Ret,0.1866492589226356,0.19999999999999998,4
seame_dev_sge,global,angle_deg,Cond-Matrix-Ret,0.8600783116065729,1.0,4
seame_dev_sge,global,angle_deg,Raw-Outside,,,0
seame_dev_sge,global,angle_deg,Cond-Outside,,,0
seame_dev_sge,global,unit_l2,Raw-PIER-gain,0.9254754344867346,0.7999999999999999,4
seame_dev_sge,global,unit_l2,Cond-PIER-gain,-0.9306438978047531,-0.7999999999999999,4
seame_dev_sge,global,unit_l2,Raw-Matrix-Ret,0.16775966448496826,0.19999999999999998,4
seame_dev_sge,global,unit_l2,Cond-Matrix-Ret,0.8698633495583701,1.0,4
seame_dev_sge,global,unit_l2,Raw-Outside,,,0
seame_dev_sge,global,unit_l2,Cond-Outside,,,0
seame_dev_sge,oracle_local,cos_raw_cond,Raw-PIER-gain,,0.7999999999999999,4
seame_dev_sge,oracle_local,cos_raw_cond,Cond-PIER-gain,0.8304416570147776,0.7999999999999999,4
seame_dev_sge,oracle_local,cos_raw_cond,Raw-Matrix-Ret,0.7523921845457208,0.7999999999999999,4
seame_dev_sge,oracle_local,cos_raw_cond,Cond-Matrix-Ret,-0.7718409820616637,-0.19999999999999998,4
seame_dev_sge,oracle_local,cos_raw_cond,Raw-Outside,,,0
seame_dev_sge,oracle_local,cos_raw_cond,Cond-Outside,,,0
seame_dev_sge,oracle_local,angle_deg,Raw-PIER-gain,,-0.7999999999999999,4
seame_dev_sge,oracle_local,angle_deg,Cond-PIER-gain,-0.8310997431057459,-0.7999999999999999,4
seame_dev_sge,oracle_local,angle_deg,Raw-Matrix-Ret,-0.7525655914273579,-0.7999999999999999,4
seame_dev_sge,oracle_local,angle_deg,Cond-Matrix-Ret,0.7725920448266635,0.19999999999999998,4
seame_dev_sge,oracle_local,angle_deg,Raw-Outside,,,0
seame_dev_sge,oracle_local,angle_deg,Cond-Outside,,,0
seame_dev_sge,oracle_local,unit_l2,Raw-PIER-gain,,-0.7999999999999999,4
seame_dev_sge,oracle_local,unit_l2,Cond-PIER-gain,-0.8416443193095238,-0.7999999999999999,4
seame_dev_sge,oracle_local,unit_l2,Raw-Matrix-Ret,-0.7520742583404685,-0.7999999999999999,4
seame_dev_sge,oracle_local,unit_l2,Cond-Matrix-Ret,0.7841917652423448,0.19999999999999998,4
seame_dev_sge,oracle_local,unit_l2,Raw-Outside,,,0
seame_dev_sge,oracle_local,unit_l2,Cond-Outside,,,0
